lanename,linkid
Link1_A_in,Link4_10_1
Link1_A_out,Link4_1_10
Link1_B_in,Link11_14_1
Link1_B_out,Link11_1_14
Link1_C_in,Link10_2_13
Link1_C_out,Link10_13_2
Link1_D_in,Link9_12_2
Link1_D_out,Link9_2_12
Link1_E_in,Link6_11_1
Link1_E_out,Link6_1_11
Link2_A_in,Link20_21_4
Link2_A_out,Link20_4_21
Link2_B_in,Link19_20_4
Link2_B_out,Link19_4_20
Link2_C_in,Link17_19_4
Link2_C_out,Link17_4_19
Link2_D_in,Link21_22_4
Link2_D_out,Link21_4_22
Link4_A_in,Link26_26_5
Link4_A_out,Link26_5_26
Link4_B_in,Link25_5_25
Link4_B_out,Link25_25_5
Link4_C_in,Link24_24_5
Link4_C_out,Link24_5_24
Link4_D_in,Link22_23_5
Link4_D_out,Link22_5_23
Link7_A_in,Link30_29_6
Link7_A_out,Link30_6_29
Link7_B_in,Link29_28_6
Link7_B_out,Link29_6_28
Link7_C_in,Link27_27_6
Link7_C_out,Link27_6_27
Link10_A_in,Link16_18_3
Link10_A_out,Link16_3_18
Link10_B_in,Link15_17_3
Link10_B_out,Link15_3_17
Link10_C_in,Link12_3_15
Link10_C_out,Link12_15_3
Link10_D_in,Link14_16_3
Link10_D_out,Link14_3_16 